ticker,network,exception
NEAR,NEAR,YES
ZRX,ETH,YES
BCH,BCH,YES
ADA,ADA,YES
STORJ,ETH,YES
WAVES,WAVES,YES
CHZ,ETH,YES
XRP,XRP,YES
SAND,ETH,YES
ENJ,ETH,YES
XTZ,XTZ,YES
EOS,EOS,YES
DOT,DOT,YES
1INCH,ETH,YES
ATOM,ATOM,
SOL,SOL,YES
ETC,ETC,YES
ETH,ETH,YES
NEO,NEO3,YES
TRX,TRX,YES
NU,ETH,YES
SRM,ETH,YES
MATIC,ETH,YES
IOST,IOST,YES
OMG,ETH,YES
BTC,BTC,YES
IOTA,IOTA,YES
CVC,ETH,YES
BTT,TRX,YES
ANKR,ETH,YES
ALGO,ALGO,YES
SC,SC,YES
ONT,ONT,YES
MANA,ETH,YES
ICX,ICX,YES
DOGE,DOGE,YES
SXP,ETH,YES
HBAR,HBAR,YES
KAVA,KAVA,YES
THETA,THETA,YES
AAVE,ETH,YES
AXS,ETH,YES
ZIL,ZIL,YES
XEM,XEM,YES
KNC,ETH,YES
MTL,ETH,YES
VET,VET,YES
LTC,LTC,YES
XLM,XLM,YES
LINK,ETH,YES
QTUM,QTUM,YES
STMX,ETH,YES
BAT,ETH,YES
