|2022-01-08 15:39:37,049|	##ERROR##	테스트	 >> File "loggerTest.py", line 10, in loggerTest
|2022-01-10 22:50:24,556|	##INFO##	업비트 지갑 정보를 받아오고 있습니다.	 >> File "ExGeneralInfo.py", line 195, in ExGeneralInfo
|2022-01-10 22:50:24,556|	##INFO##	티커 정보를 업데이트를 시작 합니다.	 >> File "ExGeneralInfo.py", line 273, in ExGeneralInfo
|2022-01-10 22:50:25,095|	##INFO##	티커 정보를 업데이트가 완료 되었습니다.	 >> File "ExGeneralInfo.py", line 324, in ExGeneralInfo
|2022-01-10 22:50:27,519|	##INFO##	업비트 지갑 정보를 받아왔습니다.	 >> File "ExGeneralInfo.py", line 198, in ExGeneralInfo
|2022-01-10 22:50:27,519|	##INFO##	바이낸스 지갑 정보를 받아오고 있습니다.	 >> File "ExGeneralInfo.py", line 201, in ExGeneralInfo
|2022-01-10 22:50:27,679|	##INFO##	바이낸스 지갑 정보를 받아왔습니다.	 >> File "ExGeneralInfo.py", line 224, in ExGeneralInfo
|2022-01-10 22:50:27,679|	##INFO##	업비트 지갑 주소를 받아오고 있습니다.	 >> File "ExGeneralInfo.py", line 167, in ExGeneralInfo
|2022-01-10 22:50:27,801|	##INFO##	업비트 지갑 주소를 받아왔습니다.	 >> File "ExGeneralInfo.py", line 178, in ExGeneralInfo
|2022-01-10 22:50:27,801|	##INFO##	바이낸스 지갑 주소를 받아오고 있습니다.	 >> File "ExGeneralInfo.py", line 155, in ExGeneralInfo
|2022-01-10 22:50:34,645|	##INFO##	바이낸스 지갑 주소를 받아왔습니다.	 >> File "ExGeneralInfo.py", line 164, in ExGeneralInfo
|2022-01-10 22:50:34,645|	##INFO##	업비트 거래소 정보를 받아오고 있습니다.	 >> File "ExGeneralInfo.py", line 113, in ExGeneralInfo
|2022-01-10 22:50:34,645|	##INFO##	업비트 거래소 정보를 받아왔습니다.	 >> File "ExGeneralInfo.py", line 121, in ExGeneralInfo
|2022-01-10 22:50:34,879|	##INFO##	바이낸스 거래소 정보를 받아오고 있습니다.	 >> File "ExGeneralInfo.py", line 124, in ExGeneralInfo
|2022-01-10 22:50:34,880|	##INFO##	바이낸스 거래소 정보를 받아왔습니다.	 >> File "ExGeneralInfo.py", line 145, in ExGeneralInfo
|2022-01-10 22:50:34,880|	##INFO##	바이낸스 거래소 정보를 받아오고 있습니다.	 >> File "ExGeneralInfo.py", line 124, in ExGeneralInfo
|2022-01-10 22:50:34,882|	##INFO##	바이낸스 거래소 정보를 받아왔습니다.	 >> File "ExGeneralInfo.py", line 145, in ExGeneralInfo
|2022-01-10 22:54:39,063|	##INFO##	업비트 지갑 정보를 받아오고 있습니다.	 >> File "ExGeneralInfo.py", line 195, in ExGeneralInfo
|2022-01-10 22:54:39,064|	##INFO##	티커 정보를 업데이트를 시작 합니다.	 >> File "ExGeneralInfo.py", line 273, in ExGeneralInfo
|2022-01-10 22:54:39,463|	##INFO##	티커 정보를 업데이트가 완료 되었습니다.	 >> File "ExGeneralInfo.py", line 324, in ExGeneralInfo
|2022-01-10 22:54:41,765|	##INFO##	업비트 지갑 정보를 받아왔습니다.	 >> File "ExGeneralInfo.py", line 198, in ExGeneralInfo
|2022-01-10 22:54:41,765|	##INFO##	바이낸스 지갑 정보를 받아오고 있습니다.	 >> File "ExGeneralInfo.py", line 201, in ExGeneralInfo
|2022-01-10 22:54:41,933|	##INFO##	바이낸스 지갑 정보를 받아왔습니다.	 >> File "ExGeneralInfo.py", line 224, in ExGeneralInfo
|2022-01-10 22:54:41,934|	##INFO##	업비트 지갑 주소를 받아오고 있습니다.	 >> File "ExGeneralInfo.py", line 167, in ExGeneralInfo
|2022-01-10 22:54:42,057|	##INFO##	업비트 지갑 주소를 받아왔습니다.	 >> File "ExGeneralInfo.py", line 178, in ExGeneralInfo
|2022-01-10 22:54:42,057|	##INFO##	바이낸스 지갑 주소를 받아오고 있습니다.	 >> File "ExGeneralInfo.py", line 155, in ExGeneralInfo
|2022-01-10 22:54:47,654|	##INFO##	바이낸스 지갑 주소를 받아왔습니다.	 >> File "ExGeneralInfo.py", line 164, in ExGeneralInfo
|2022-01-10 22:54:47,654|	##INFO##	업비트 거래소 정보를 받아오고 있습니다.	 >> File "ExGeneralInfo.py", line 113, in ExGeneralInfo
|2022-01-10 22:54:47,654|	##INFO##	업비트 거래소 정보를 받아왔습니다.	 >> File "ExGeneralInfo.py", line 121, in ExGeneralInfo
