ticker,network,problem
NEAR,NEAR,
ZRX,ETH,
BCH,BCH,
ADA,ADA,
STORJ,ETH,
WAVES,WAVES,
CHZ,ETH,
XRP,XRP,
SAND,ETH,
ENJ,ETH,
XTZ,XTZ,
EOS,EOS,
DOT,DOT,
1INCH,ETH,
ATOM,ATOM,
SOL,SOL,
ETC,ETC,
ETH,ETH,
NEO,NEO3,
TRX,TRX,
NU,ETH,
SRM,ETH,
MATIC,ETH,
IOST,IOST,
OMG,ETH,
BTC,BTC,
IOTA,IOTA,
CVC,ETH,
BTT,TRX,YES
ANKR,ETH,
ALGO,ALGO,
SC,SC,
ONT,ONT,
MANA,ETH,
ICX,ICX,
DOGE,DOGE,
SXP,ETH,
HBAR,HBAR,
KAVA,KAVA,
THETA,THETA,
AAVE,ETH,
AXS,ETH,
ZIL,ZIL,
XEM,XEM,
KNC,ETH,
MTL,ETH,
VET,VET,
LTC,LTC,
XLM,XLM,
LINK,ETH,
QTUM,QTUM,
STMX,ETH,
BAT,ETH,
newtic,net,YES
newtic,net,YES
newtic,net,YES
